"ID"|"hir"
"1"|"1994LXXXV"|FALSE
"2"|"1995LXVII"|FALSE
"3"|"1996XXXIX"|FALSE
"4"|"1997CXLVI"|FALSE
"5"|"1997X"|FALSE
"6"|"1997XCI"|FALSE
"7"|"1997XXVI"|FALSE
"8"|"1999CI"|FALSE
"9"|"1999LIV"|FALSE
"10"|"1999XCI"|FALSE
"11"|"1999XXXIII"|FALSE
"12"|"2000CIX"|FALSE
"13"|"2000XXXVI"|FALSE
"14"|"2001XXVI"|FALSE
"15"|"2002XXX"|FALSE
"16"|"2003CVIII"|FALSE
"17"|"2003CXIII"|FALSE
"18"|"2003CXXX"|FALSE
"19"|"2004LVII"|FALSE
"20"|"2004LXI"|FALSE
"21"|"2004LXIX"|FALSE
"22"|"2004XIV"|FALSE
"23"|"2004XXIII"|FALSE
"24"|"2004XXIX"|FALSE
"25"|"2005CX"|FALSE
"26"|"2005CXXVII"|FALSE
"27"|"2007CLXXX"|FALSE
"28"|"2007XLVIII"|FALSE
"29"|"2008LIV"|FALSE
"30"|"2008XLIII"|FALSE
"31"|"2009VII"|FALSE
"32"|"2009XCV"|FALSE
"33"|"2009XLVII"|FALSE
"34"|"2010XL"|FALSE
"35"|"2010C"|FALSE
"36"|"2010CI"|FALSE
"37"|"2010CII"|FALSE
"38"|"2010CIII"|FALSE
"39"|"2010CIV"|FALSE
"40"|"2010CL"|FALSE
"41"|"2010CLX"|FALSE
"42"|"2010CV"|FALSE
"43"|"2010CXLV"|FALSE
"44"|"2010CXXII"|FALSE
"45"|"2010CXXIII"|FALSE
"46"|"2010CXXVI"|FALSE
"47"|"2010CXXVII"|FALSE
"48"|"2010CXXXIV"|FALSE
"49"|"2010LXXIV"|FALSE
"50"|"2010XCIX"|FALSE
"51"|"2011CLI"|FALSE
"52"|"2011CLVI"|FALSE
"53"|"2011CXLII"|FALSE
"54"|"2011CXVI"|FALSE
"55"|"2011CXXVI"|FALSE
"56"|"2011CXXXVI"|FALSE
"57"|"2011LIV"|FALSE
"58"|"2011LV"|FALSE
"59"|"2011LVII"|FALSE
"60"|"2011LXIV"|FALSE
"61"|"2011LXXVII"|FALSE
"62"|"2011LXXXII"|FALSE
"63"|"2011XCVI"|FALSE
"64"|"2011XLI"|FALSE
"65"|"2011XLIII"|FALSE
"66"|"2011XLVII"|FALSE
"67"|"2011XXIV"|FALSE
"68"|"2012CCIV"|FALSE
"69"|"2012CCXIX"|FALSE
"70"|"2012CLXIII"|FALSE
"71"|"2012CLXIX"|FALSE
"72"|"2012CLXVIII"|FALSE
"73"|"2012CLXXII"|FALSE
"74"|"2012CLXXIX"|FALSE
"75"|"2012CLXXVIII"|FALSE
"76"|"2012CVIII"|FALSE
"77"|"2012CXCI"|FALSE
"78"|"2012CXI"|FALSE
"79"|"2012CXII"|FALSE
"80"|"2012CXLIX"|FALSE
"81"|"2012CXXX"|FALSE
"82"|"2012CXXXV"|FALSE
"83"|"2012LXXXVI"|FALSE
"84"|"2012V"|FALSE
"85"|"2012XC"|FALSE
"86"|"2013CCVI"|FALSE
"87"|"2013CCVII"|FALSE
"88"|"2013CCXLVI"|FALSE
"89"|"2013CCXVII"|FALSE
"90"|"2013CCXX"|FALSE
"91"|"2013CCXXVI"|FALSE
"92"|"2013CCXXXI"|FALSE
"93"|"2013CCXXXII"|FALSE
"94"|"2013CIII"|FALSE
"95"|"2013CL"|FALSE
"96"|"2013CLIX"|FALSE
"97"|"2013CLX"|FALSE
"98"|"2013CLXIX"|FALSE
"99"|"2013CLXVIII"|FALSE
"100"|"2013CLXXX"|FALSE
"101"|"2013CLXXXV"|FALSE
"102"|"2013CVIII"|FALSE
"103"|"2013CXCV"|FALSE
"104"|"2013CXLIV"|FALSE
"105"|"2013CXLIX"|FALSE
"106"|"2013CXLV"|FALSE
"107"|"2013CXXXV"|FALSE
"108"|"2013LI"|FALSE
"109"|"2013LIX"|FALSE
"110"|"2013LXII"|FALSE
"111"|"2013XLI"|FALSE
"112"|"alaptörvény"|FALSE
"113"|"alkotmány6"|FALSE
"114"|"2014LXIX"|FALSE
"115"|"2015CLXXIX"|FALSE
"116"|"2015LXXI"|FALSE
"117"|"2016CIII"|FALSE
"118"|"2016LII"|FALSE
"119"|"2016LIII"|FALSE
"120"|"2016LIV"|FALSE
"121"|"2016LV"|FALSE
"122"|"2016LVI"|FALSE
"123"|"2016XIII"|FALSE
"124"|"2016XIX"|FALSE
"125"|"2016XL"|FALSE
"126"|"2016XLI"|FALSE
"127"|"2016XLII"|FALSE
"128"|"2016XLIII"|FALSE
"129"|"2016XLIV"|FALSE
"130"|"2016XLIX"|FALSE
"131"|"2016XLV"|FALSE
"132"|"2016XLVI"|FALSE
"133"|"2016XLVII"|FALSE
"134"|"2016XLVIII"|FALSE
"135"|"2016XVIII"|FALSE
"136"|"2016XX"|FALSE
"137"|"2016XXI"|FALSE
"138"|"2016XXII"|FALSE
"139"|"2016XXIII"|FALSE
"140"|"2016XXIX"|FALSE
"141"|"2016XXV"|FALSE
"142"|"2016XXVI"|FALSE
"143"|"2016XXVII"|FALSE
"144"|"2016XXX"|FALSE
"145"|"2016XXXI"|FALSE
"146"|"2016XXXII"|FALSE
"147"|"2016XXXIII"|FALSE
"148"|"2016XXXIV"|FALSE
"149"|"2016XXXIX"|FALSE
"150"|"2016XXXV"|FALSE
"151"|"2016XXXVI"|FALSE
"152"|"2016XXXVIII"|FALSE
"153"|"2017CLII"|FALSE
"154"|"2017CXCIV"|FALSE
"155"|"2017CXLV"|FALSE
"156"|"2017CXXVI"|FALSE
"157"|"2017LII"|FALSE
"158"|"2017LXIX"|FALSE
"159"|"2017XXXIX"|FALSE
